branch_office,month_tz,day_tz,hour_tz,tiempodeses,prediccion
3,11,15,5,0,FALSE
3,11,2,22,0,FALSE
3,11,16,16,0,FALSE
1,11,3,5,2294,TRUE
3,11,23,22,482,TRUE
3,11,2,21,17989,TRUE
1,11,4,9,0,FALSE
3,11,28,10,0,FALSE
3,11,29,12,0,FALSE
3,11,12,18,0,FALSE
3,11,29,22,0,FALSE
2,11,5,13,44,FALSE
3,11,10,8,0,FALSE
3,11,28,0,0,FALSE
3,11,2,19,0,FALSE
1,11,7,11,840,TRUE
1,11,29,14,0,FALSE
3,11,5,21,744,TRUE
3,11,30,6,0,FALSE
1,10,28,19,107,TRUE
3,11,8,18,0,FALSE
3,11,16,22,0,FALSE
1,11,28,8,0,FALSE
1,11,19,18,0,FALSE
1,11,28,20,0,FALSE
1,11,5,13,0,FALSE
1,11,28,13,0,FALSE
3,11,7,8,0,FALSE
1,11,1,11,0,FALSE
1,10,26,15,777,TRUE
3,11,11,19,0,FALSE
1,11,9,11,0,FALSE
3,11,15,17,1452,TRUE
3,11,15,16,11226,TRUE
2,11,10,14,0,FALSE
1,10,24,14,0,FALSE
3,11,5,0,0,FALSE
3,11,15,11,0,FALSE
1,10,28,23,60,TRUE
3,11,5,21,0,FALSE
2,11,4,18,10968,TRUE
1,11,3,20,71,TRUE
1,11,4,3,0,FALSE
3,11,16,6,11,FALSE
2,11,11,21,1572,TRUE
3,11,5,17,0,FALSE
3,11,10,9,0,FALSE
1,11,17,6,0,FALSE
3,11,10,13,250,TRUE
3,11,3,23,0,FALSE
3,11,30,8,0,FALSE
1,10,30,9,0,FALSE
3,11,16,21,0,FALSE
3,11,27,20,0,FALSE
1,11,3,12,0,FALSE
1,11,24,10,60343,TRUE
1,10,30,10,0,FALSE
1,10,31,17,55,FALSE
1,11,29,19,24283,TRUE
1,11,15,8,50,FALSE
1,10,28,15,1738,TRUE
1,11,24,1,761,TRUE
1,10,27,12,0,FALSE
1,10,28,10,37,FALSE
3,11,5,17,0,FALSE
3,11,5,19,231,TRUE
1,11,10,6,0,FALSE
1,11,24,6,13437,TRUE
3,11,10,7,0,FALSE
1,10,31,12,423,TRUE
1,11,9,15,18087,TRUE
1,10,28,21,31,FALSE
3,11,8,17,0,FALSE
1,10,31,20,346,TRUE
3,11,7,9,0,FALSE
1,11,13,18,92,TRUE
3,11,29,17,23684,TRUE
3,11,2,18,0,FALSE
2,11,5,17,0,FALSE
1,11,7,11,0,FALSE
1,11,13,10,1002,TRUE
1,10,27,23,699,TRUE
3,11,5,21,0,FALSE
3,11,4,18,0,FALSE
1,10,27,19,0,FALSE
1,11,7,10,0,FALSE
1,11,3,16,1719,TRUE
1,11,16,6,0,FALSE
1,10,28,17,60,FALSE
1,11,7,10,41,FALSE
1,11,5,15,0,FALSE
3,11,9,11,0,FALSE
1,11,29,14,538,TRUE
3,11,17,8,0,FALSE
1,10,30,17,121,TRUE
3,11,15,8,0,FALSE
1,11,12,13,0,FALSE
2,11,17,9,0,FALSE
1,11,4,20,1507,TRUE
1,11,10,11,0,FALSE
1,10,28,16,0,FALSE
3,11,29,8,0,FALSE
1,11,13,18,22286,TRUE
3,11,15,20,0,FALSE
1,10,28,13,496,TRUE
1,11,12,12,93,TRUE
1,11,29,8,0,FALSE
2,11,7,8,0,FALSE
3,11,9,18,51,FALSE
3,11,2,21,21274,TRUE
3,11,2,10,84,FALSE
1,10,31,17,2774,TRUE
1,11,7,19,0,FALSE
1,11,13,19,7800,TRUE
1,10,24,17,45,FALSE
3,11,28,19,0,FALSE
1,11,1,23,0,FALSE
1,11,5,3,126,TRUE
1,10,29,3,2615,TRUE
1,11,24,3,0,FALSE
3,11,3,18,0,FALSE
1,11,6,13,1505,TRUE
1,11,29,20,6476,TRUE
1,11,5,19,47,TRUE
3,11,3,22,594,TRUE
1,10,27,23,31,FALSE
1,10,28,12,0,FALSE
2,11,28,16,1724,TRUE
1,11,9,20,0,FALSE
1,11,10,14,0,FALSE
1,11,12,20,45,FALSE
1,10,30,9,60,FALSE
3,11,14,14,0,FALSE
2,11,9,22,9005,TRUE
1,10,28,9,0,FALSE
3,11,9,18,0,FALSE
1,11,30,7,0,FALSE
1,11,9,18,46,FALSE
3,11,16,8,0,FALSE
1,11,12,15,29,FALSE
3,11,7,15,0,FALSE
3,11,30,9,0,FALSE
3,11,8,14,604,TRUE
1,11,23,19,0,FALSE
1,11,9,15,0,FALSE
1,11,8,18,0,FALSE
1,10,26,23,4408,TRUE
1,10,26,3,4800,TRUE
1,11,17,13,27766,TRUE
1,11,5,14,0,FALSE
3,11,6,11,1347,TRUE
3,11,28,13,434,TRUE
1,11,7,18,80,TRUE
1,11,19,15,0,FALSE
3,11,3,15,3932,TRUE
1,11,7,18,30,FALSE
1,11,3,19,0,FALSE
3,11,27,16,0,FALSE
1,11,16,23,5603,TRUE
3,11,17,11,0,FALSE
1,11,15,17,0,FALSE
1,10,30,18,140,TRUE
2,11,29,13,1209,TRUE
1,10,28,8,3250,TRUE
2,11,14,18,0,FALSE
1,11,29,10,180,TRUE
1,11,5,1,0,FALSE
3,11,6,8,0,FALSE
3,11,28,8,9,FALSE
3,11,23,22,45,FALSE
3,11,4,7,18048,TRUE
1,10,28,18,18,FALSE
1,11,24,12,0,FALSE
3,11,2,16,0,FALSE
1,11,17,15,12179,TRUE
1,11,23,15,1560,TRUE
3,11,30,10,0,FALSE
3,11,27,15,0,FALSE
1,10,27,14,0,FALSE
2,11,17,12,5463,TRUE
1,11,7,7,71,FALSE
3,11,3,12,0,FALSE
1,11,28,0,1107,TRUE
1,10,28,14,0,FALSE
3,11,3,12,0,FALSE
3,11,29,13,0,FALSE
3,11,28,8,0,FALSE
2,11,28,21,3696,TRUE
3,11,28,9,81,FALSE
3,11,10,6,7680,TRUE
3,11,11,16,0,FALSE
1,11,12,16,1939,TRUE
1,11,10,9,30,FALSE
2,11,11,14,0,FALSE
1,11,9,8,0,FALSE
1,11,9,20,40,FALSE
1,10,25,23,7713,TRUE
3,11,29,9,0,FALSE
3,11,5,14,0,FALSE
1,11,16,15,0,FALSE
1,11,16,7,0,FALSE
1,11,17,9,62589,TRUE
1,10,30,11,0,FALSE
1,11,15,9,20,FALSE
1,10,28,12,0,FALSE
3,11,8,23,0,FALSE
1,10,27,0,0,FALSE
3,11,16,12,0,FALSE
3,11,14,17,11338,TRUE
3,11,24,8,0,FALSE
2,11,16,20,5879,TRUE
1,11,8,7,0,FALSE
1,11,16,17,138,TRUE
1,11,3,20,0,FALSE
1,10,31,15,3711,TRUE
3,11,5,12,2633,TRUE
3,11,10,9,0,FALSE
3,11,23,23,35294,TRUE
2,11,3,19,0,FALSE
2,11,10,7,0,FALSE
3,11,12,20,87,TRUE
3,11,14,15,0,FALSE
2,11,28,16,0,FALSE
1,11,8,17,6937,TRUE
3,11,12,14,242,TRUE
3,11,29,20,0,FALSE
3,11,5,21,1315,TRUE
1,11,17,16,0,FALSE
3,11,8,18,0,FALSE
3,11,16,14,53,FALSE
1,10,28,4,0,FALSE
3,11,5,20,0,FALSE
1,10,31,19,0,FALSE
1,10,27,8,0,FALSE
1,11,12,15,0,FALSE
3,11,6,11,208,TRUE
1,11,8,20,0,FALSE
2,11,8,21,992,TRUE
1,11,4,15,1869,TRUE
3,11,8,10,0,FALSE
3,11,7,22,0,FALSE
1,10,26,21,27,FALSE
3,11,14,14,0,FALSE
1,11,9,17,0,FALSE
3,11,19,13,0,FALSE
1,11,15,18,63,FALSE
1,10,27,23,0,FALSE
1,11,11,12,0,FALSE
3,11,6,15,0,FALSE
3,11,17,14,1624,TRUE
3,11,8,18,0,FALSE
2,11,8,8,692,TRUE
3,11,28,5,0,FALSE
3,11,28,10,0,FALSE
3,11,16,18,5547,TRUE
3,11,19,15,0,FALSE
1,10,27,11,28,FALSE
1,11,3,15,0,FALSE
1,11,7,22,21475,TRUE
3,11,11,12,0,FALSE
1,11,5,11,115,TRUE
1,10,28,10,0,FALSE
2,11,13,15,27733,TRUE
1,11,3,17,0,FALSE
3,11,29,23,0,FALSE
2,11,9,17,154,TRUE
3,11,29,12,0,FALSE
1,11,10,13,8,FALSE
1,11,7,12,154,TRUE
1,10,28,13,21,FALSE
1,11,2,17,0,FALSE
1,11,1,7,0,FALSE
3,11,13,15,0,FALSE
1,10,28,17,0,FALSE
3,11,27,17,5854,TRUE
1,11,12,23,0,FALSE
2,11,13,14,1762,TRUE
3,11,16,10,0,FALSE
3,11,4,22,0,FALSE
1,10,28,22,48,FALSE
2,11,16,16,301,TRUE
1,11,23,19,0,FALSE
1,11,10,5,12480,TRUE
1,11,14,7,0,FALSE
2,11,9,14,52,FALSE
3,11,8,8,0,FALSE
2,11,27,16,0,FALSE
1,11,7,13,0,FALSE
2,11,10,16,3343,TRUE
3,11,13,22,0,FALSE
1,11,8,18,0,FALSE
1,10,29,21,10014,TRUE
1,11,4,17,0,FALSE
1,11,6,11,21,FALSE
3,11,4,7,346,TRUE
2,11,3,10,13204,TRUE
1,11,4,15,51,FALSE
1,10,27,16,68048,TRUE
3,11,8,14,2336,TRUE
1,10,25,1,0,FALSE
3,11,27,16,0,FALSE
2,11,8,16,2461,TRUE
1,11,5,11,222,TRUE
1,11,13,17,0,FALSE
3,11,14,19,0,FALSE
3,11,23,18,5,FALSE
3,11,5,10,0,FALSE
1,10,31,9,184,TRUE
2,11,5,19,5168,TRUE
3,11,9,15,0,FALSE
1,11,5,16,0,FALSE
3,11,16,8,0,FALSE
1,11,13,14,19,FALSE
1,11,30,16,16,FALSE
2,11,9,11,2164,TRUE
1,11,28,11,0,FALSE
1,10,30,20,0,FALSE
1,11,29,16,44,FALSE
1,11,9,14,1829,TRUE
1,11,16,14,0,FALSE
3,11,19,13,0,FALSE
1,11,11,18,2480,TRUE
1,11,14,18,0,FALSE
3,11,30,8,0,FALSE
1,11,2,5,10201,TRUE
1,11,14,11,0,FALSE
3,11,28,4,0,FALSE
3,11,12,20,136,TRUE
1,11,4,12,1766,TRUE
1,11,4,12,0,FALSE
3,11,12,20,0,FALSE
1,10,26,19,0,FALSE
3,11,27,13,0,FALSE
3,11,3,11,0,FALSE
3,11,2,8,439,TRUE
3,11,4,21,280,TRUE
1,11,1,17,0,FALSE
3,11,11,13,0,FALSE
2,11,28,16,0,FALSE
2,11,29,14,11770,TRUE
3,11,12,3,504,TRUE
1,10,31,11,11,FALSE
3,11,6,15,6760,TRUE
1,11,8,7,0,FALSE
3,11,11,12,0,FALSE
3,11,5,9,0,FALSE
1,11,8,21,20,FALSE
1,11,1,15,0,FALSE
1,11,1,11,0,FALSE
1,10,27,0,26695,TRUE
1,11,1,11,1260,TRUE
3,11,30,14,451,TRUE
3,11,6,21,438,TRUE
2,11,7,16,1463,TRUE
1,10,31,11,2696,TRUE
3,11,8,18,0,FALSE
1,11,16,14,23,FALSE
1,11,5,12,0,FALSE
1,10,28,9,0,FALSE
1,11,16,9,0,FALSE
1,11,1,18,0,FALSE
2,11,27,13,0,FALSE
1,11,29,17,0,FALSE
3,11,29,18,34429,TRUE
3,11,27,19,0,FALSE
2,11,27,17,60,FALSE
1,11,15,9,0,FALSE
2,11,24,14,0,FALSE
1,10,30,19,1507,TRUE
1,10,31,9,36,FALSE
1,11,7,14,485,TRUE
1,11,7,12,0,FALSE
3,11,28,15,0,FALSE
1,10,31,13,0,FALSE
3,11,29,15,0,FALSE
2,11,8,4,13077,TRUE
3,11,12,23,0,FALSE
2,11,9,12,6299,TRUE
3,11,29,15,0,FALSE
1,11,29,16,46,TRUE
1,11,3,19,20,FALSE
1,11,16,23,0,FALSE
3,11,11,16,5431,TRUE
1,11,23,15,0,FALSE
3,11,4,14,0,FALSE
1,10,31,13,64418,TRUE
1,10,28,19,63,TRUE
1,10,29,18,0,FALSE
1,11,12,17,5199,TRUE
3,11,30,13,107,TRUE
1,11,10,13,0,FALSE
1,11,14,17,0,FALSE
3,11,8,6,0,FALSE
3,11,24,6,0,FALSE
1,11,12,9,0,FALSE
1,11,9,19,11400,TRUE
2,11,3,18,359,TRUE
3,11,30,13,0,FALSE
3,11,27,17,0,FALSE
3,11,12,8,131,TRUE
1,11,24,14,0,FALSE
3,11,28,10,730,TRUE
3,11,9,12,2852,TRUE
2,11,15,13,0,FALSE
2,11,6,20,2313,TRUE
3,11,5,20,0,FALSE
3,11,2,18,0,FALSE
3,11,5,22,1869,TRUE
1,10,29,17,0,FALSE
1,11,3,15,1,FALSE
3,11,17,11,0,FALSE
3,11,23,19,0,FALSE
1,10,28,10,41538,TRUE
3,11,8,8,0,FALSE
3,11,11,20,0,FALSE
1,10,29,20,244,TRUE
3,11,28,8,1261,TRUE
1,10,27,21,4574,TRUE
3,11,9,14,0,FALSE
3,11,3,8,0,FALSE
1,11,12,15,0,FALSE
1,11,9,17,0,FALSE
1,10,29,9,1951,TRUE
1,11,7,16,7176,TRUE
1,11,16,9,0,FALSE
3,11,9,21,404,TRUE
1,11,23,15,5011,TRUE
2,11,13,17,0,FALSE
1,11,5,15,0,FALSE
2,11,13,7,443,TRUE
3,11,2,17,1195,TRUE
1,11,2,14,1673,TRUE
1,10,26,21,0,FALSE
3,11,24,7,0,FALSE
1,11,6,18,21604,TRUE
1,10,27,9,0,FALSE
1,11,30,16,587,TRUE
3,11,29,6,0,FALSE
1,10,26,18,0,FALSE
3,11,13,20,0,FALSE
1,11,1,20,17,FALSE
3,11,16,15,0,FALSE
3,11,6,0,0,FALSE
1,11,8,11,0,FALSE
2,11,17,16,0,FALSE
3,11,7,8,0,FALSE
1,11,2,17,0,FALSE
3,11,13,20,3139,TRUE
1,11,3,11,0,FALSE
1,11,13,15,0,FALSE
1,10,29,14,253,TRUE
3,11,2,13,1001,TRUE
1,11,16,22,40,TRUE
2,11,29,19,1356,TRUE
1,10,29,5,0,FALSE
1,11,15,19,0,FALSE
3,11,15,6,0,FALSE
2,11,6,14,0,FALSE
1,11,3,15,0,FALSE
1,11,15,13,92,TRUE
1,11,3,22,0,FALSE
1,10,28,14,0,FALSE
1,11,2,22,0,FALSE
1,10,27,16,558,TRUE
1,11,10,14,0,FALSE
3,11,9,18,1341,TRUE
3,11,14,7,0,FALSE
1,11,11,13,0,FALSE
1,11,3,10,0,FALSE
3,11,30,7,0,FALSE
1,11,6,1,0,FALSE
3,11,30,8,239,TRUE
2,11,7,15,1226,TRUE
3,11,7,14,0,FALSE
1,11,27,15,373,TRUE
3,11,11,19,4219,TRUE
1,10,28,11,0,FALSE
3,11,14,18,0,FALSE
3,11,16,19,6711,TRUE
1,11,2,22,1995,TRUE
1,11,2,14,0,FALSE
3,11,3,20,0,FALSE
1,10,28,23,0,FALSE
3,11,24,9,0,FALSE
1,11,30,15,29,FALSE
3,11,30,11,0,FALSE
1,11,16,14,0,FALSE
3,11,9,11,11514,TRUE
3,11,30,9,0,FALSE
1,11,4,16,0,FALSE
1,10,26,14,0,FALSE
3,11,10,15,0,FALSE
1,11,15,22,0,FALSE
3,11,24,11,23,FALSE
3,11,3,21,0,FALSE
3,11,7,7,4494,TRUE
1,11,7,19,1883,TRUE
3,11,15,12,0,FALSE
1,11,6,1,0,FALSE
3,11,19,15,12916,TRUE
2,11,10,12,19439,TRUE
3,11,23,16,0,FALSE
2,11,13,16,18182,TRUE
3,11,6,15,2624,TRUE
1,11,27,16,19990,TRUE
3,11,29,6,0,FALSE
3,11,7,8,22545,TRUE
3,11,2,20,0,FALSE
3,11,3,11,959,TRUE
1,10,28,10,0,FALSE
3,11,3,11,0,FALSE
3,11,24,9,0,FALSE
3,11,5,19,0,FALSE
3,11,9,9,0,FALSE
1,11,12,15,0,FALSE
1,11,28,13,8453,TRUE
2,11,4,19,0,FALSE
1,11,5,16,0,FALSE
2,11,14,22,4,FALSE
3,11,9,16,0,FALSE
1,10,30,13,0,FALSE
1,11,10,9,0,FALSE
2,11,16,23,4895,TRUE
3,11,23,15,0,FALSE
3,11,2,17,7424,TRUE
1,11,9,8,0,FALSE
1,11,5,13,0,FALSE
3,11,12,9,6494,TRUE
3,11,16,20,0,FALSE
2,11,9,9,0,FALSE
3,11,29,8,0,FALSE
1,11,7,9,0,FALSE
3,11,8,17,0,FALSE
3,11,9,13,0,FALSE
3,11,23,17,333,TRUE
1,11,2,12,0,FALSE
1,11,10,16,0,FALSE
3,11,14,17,741,TRUE
1,11,7,9,0,FALSE
3,11,4,22,0,FALSE
3,11,4,14,3710,TRUE
3,11,10,15,0,FALSE
1,11,15,12,0,FALSE
1,11,23,17,0,FALSE
2,11,24,14,7242,TRUE
1,11,3,6,68,FALSE
2,11,6,16,5713,TRUE
3,11,15,20,0,FALSE
1,11,7,14,4,FALSE
3,11,8,14,0,FALSE
3,11,13,21,38834,TRUE
3,11,9,18,0,FALSE
1,10,29,15,0,FALSE
1,11,1,0,2203,TRUE
3,11,15,10,0,FALSE
1,11,8,16,0,FALSE
1,11,6,17,0,FALSE
1,11,16,11,848,TRUE
3,11,23,15,168,TRUE
3,11,3,14,1256,TRUE
3,11,28,19,0,FALSE
1,11,11,18,0,FALSE
3,11,5,7,0,FALSE
3,11,30,15,5144,TRUE
1,11,19,15,0,FALSE
3,11,30,14,2341,TRUE
3,11,29,9,1367,TRUE
1,11,8,10,7607,TRUE
1,11,10,15,824,TRUE
1,10,29,12,0,FALSE
1,11,2,14,0,FALSE
1,11,24,9,68,FALSE
1,11,28,17,0,FALSE
3,11,24,11,0,FALSE
1,11,2,9,917,TRUE
3,11,5,7,0,FALSE
1,11,14,16,248,TRUE
1,11,1,12,0,FALSE
3,11,8,18,832,TRUE
3,11,6,22,0,FALSE
3,11,16,7,0,FALSE
1,11,16,17,0,FALSE
2,11,28,19,75,TRUE
3,11,9,18,0,FALSE
1,11,2,0,92,FALSE
1,10,29,20,2983,TRUE
3,11,9,8,0,FALSE
3,11,12,7,6562,TRUE
3,11,29,16,0,FALSE
1,11,6,12,93,TRUE
2,11,28,10,0,FALSE
1,11,28,12,0,FALSE
3,11,15,23,0,FALSE
2,11,4,20,0,FALSE
2,11,11,18,27968,TRUE
3,11,8,20,5278,TRUE
1,11,16,18,0,FALSE
1,10,28,14,0,FALSE
3,11,16,6,0,FALSE
1,10,29,16,0,FALSE
3,11,30,14,0,FALSE
3,11,4,14,0,FALSE
3,11,24,8,0,FALSE
1,11,11,14,0,FALSE
1,11,17,16,0,FALSE
1,11,15,12,3009,TRUE
1,10,30,12,60,FALSE
3,11,14,20,314,TRUE
1,11,29,18,10447,TRUE
3,11,17,10,0,FALSE
3,11,29,8,0,FALSE
3,11,12,14,81,FALSE
3,11,15,18,0,FALSE
3,11,14,12,0,FALSE
1,11,12,14,0,FALSE
1,11,6,17,0,FALSE
1,11,9,19,500,TRUE
1,11,4,14,0,FALSE
3,11,19,14,0,FALSE
1,10,30,19,643,TRUE
1,11,7,18,0,FALSE
3,11,9,12,9993,TRUE
1,11,7,6,64431,TRUE
1,11,24,0,0,FALSE
3,11,12,13,123,TRUE
3,11,19,14,0,FALSE
3,11,7,17,0,FALSE
1,10,26,7,0,FALSE
3,11,13,0,1405,TRUE
1,10,28,10,0,FALSE
3,11,15,9,0,FALSE
1,11,24,17,0,FALSE
1,11,28,9,382,TRUE
3,11,27,18,0,FALSE
3,11,3,14,0,FALSE
3,11,15,18,7570,TRUE
3,11,12,13,0,FALSE
3,11,24,7,0,FALSE
1,10,31,17,0,FALSE
3,11,3,11,0,FALSE
3,11,28,11,0,FALSE
3,11,19,17,0,FALSE
1,11,5,22,1462,TRUE
3,11,2,21,0,FALSE
1,11,15,14,43,FALSE
1,11,16,13,0,FALSE
1,11,9,14,18209,TRUE
1,10,28,20,0,FALSE
1,11,4,20,0,FALSE
1,10,30,10,0,FALSE
1,11,4,14,22,FALSE
1,10,26,6,983,TRUE
1,11,10,1,3602,TRUE
1,10,28,23,89,TRUE
2,11,13,19,0,FALSE
2,11,24,14,1267,TRUE
3,11,24,9,1000,TRUE
3,11,12,10,45,FALSE
1,11,12,17,0,FALSE
3,11,13,18,0,FALSE
3,11,10,8,0,FALSE
3,11,5,9,0,FALSE
1,10,30,20,0,FALSE
3,11,11,16,12236,TRUE
1,11,1,17,0,FALSE
1,10,28,21,18257,TRUE
1,11,16,13,0,FALSE
1,11,15,19,0,FALSE
3,11,5,16,0,FALSE
1,11,11,14,164,TRUE
2,11,8,18,0,FALSE
3,11,27,17,102,TRUE
3,11,13,12,39,FALSE
1,11,1,17,0,FALSE
1,11,24,16,0,FALSE
1,11,8,15,0,FALSE
2,11,23,23,0,FALSE
3,11,16,8,0,FALSE
3,11,8,19,0,FALSE
1,11,13,16,2735,TRUE
1,11,14,11,0,FALSE
3,11,15,6,0,FALSE
3,11,15,20,0,FALSE
3,11,4,20,0,FALSE
3,11,13,16,2496,TRUE
3,11,30,8,0,FALSE
3,11,19,13,0,FALSE
2,11,24,11,349,TRUE
3,11,8,8,0,FALSE
3,11,8,8,0,FALSE
1,11,5,18,0,FALSE
2,11,3,22,2843,TRUE
3,11,27,20,121,TRUE
3,11,9,19,1026,TRUE
3,11,16,19,0,FALSE
1,11,16,15,22,FALSE
3,11,30,14,1460,TRUE
3,11,29,7,0,FALSE
3,11,17,6,0,FALSE
1,11,11,17,232,TRUE
1,10,29,1,0,FALSE
3,11,19,14,2079,TRUE
1,10,26,19,0,FALSE
2,11,24,8,1995,TRUE
3,11,29,12,125,TRUE
1,11,1,5,0,FALSE
3,11,2,4,37401,TRUE
1,11,7,9,0,FALSE
